FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
ruby\ext\io\console\console.c,1586,void Init_console(void),1.6666667000000002,0.6666667,1.0,0.0,18,6,6,2,2,2,0,1,False
ruby\ext\fiddle\function.c,39,static size_t function_memsize(const void * p),2.2727272999999997,0.27272728,2.0,0.0,11,3,6,1,2,1,0,2,False
ruby\missing\dtoa.c,828,"static Bigint * pow5mult(Bigint * b, int k)",3.3333334999999997,1.8333334,1.5,0.0,48,22,32,4,6,2,0,2,False
ruby\ext\io\console\console.c,905,static VALUE console_oflush(VALUE io),2.2307692,0.23076923,2.0,0.0,13,3,6,1,2,2,0,0,False
ruby\ext\bigdecimal\bigdecimal.c,4971,"VP_EXPORT size_t VpDivd(Real * c, Real * r, Real * a, Real * b)",1.3461538999999998,0.34615386,1.0,0.0,182,21,21,3,3,1,0,0,False
ruby\process.c,5540,"static rb_uid_t obj2uid(VALUE id #if defined(USE_GETPWNAM_R), VALUE * getpw_tmp #endif)",4.4407406,3.2407405,1.2,0.0,54,35,39,5,6,2,0,3,False
ruby\gc.c,12069,"void * ruby_xcalloc(size_t n, size_t size)",1.4444443999999999,0.44444445,1.0,0.0,9,4,4,1,1,1,0,0,False
