FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
lvgl\src\lv_objx\lv_btn.c,250,"void lv_btn_set_ink_out_time(lv_obj_t * btn, uint16_t time)",3.8846154000000004,1.3846154,2.5,0.0,13,9,26,2,5,3,0,1,False
lvgl\src\lv_themes\lv_theme_alien.c,632,static void list_init(void),2.9166667,0.9166667,2.0,0.0,36,33,66,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_templ.c,182,static void chart_init(void),1.5,0.5,1.0,0.0,6,3,3,1,1,1,0,0,False
lvgl\src\lv_core\lv_debug.c,85,bool lv_debug_check_style(const lv_style_t * style),1.5454545,0.54545456,1.0,0.0,11,6,6,1,1,1,0,0,False
lvgl\src\lv_misc\lv_printf.c,314,"static size_t _ftoa(out_fct_type out, char * buffer, size_t idx, size_t maxlen, double value, unsigned int prec, unsigned int width, unsigned int flags)",1.6041666,0.104166664,1.5,0.0,96,5,9,2,3,2,0,1,False
lvgl\src\lv_draw\lv_draw_rect.c,1454,"static lv_opa_t antialias_get_opa_circ(lv_coord_t seg, lv_coord_t px_id, lv_opa_t opa)",3.2857144,2.2857144,1.0,0.0,21,12,12,4,4,1,0,0,False
lvgl\src\lv_themes\lv_theme_alien.c,147,static void cont_init(void),2.5,0.5,2.0,0.0,6,3,6,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_mono.c,219,static void lmeter_init(void),2.8,0.8,2.0,0.0,15,12,24,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_alien.c,237,static void bar_init(void),1.909091,0.90909094,1.0,0.0,33,30,30,1,1,1,0,0,False
lvgl\src\lv_themes\lv_theme_templ.c,407,"lv_theme_t * lv_theme_templ_init(uint16_t hue, lv_font_t * font)",1.0869565,0.08695652,1.0,0.0,46,4,4,1,1,1,0,0,False
lvgl\src\lv_themes\lv_theme_default.c,137,static void bar_init(void),1.5714285,0.5714286,1.0,0.0,7,4,4,1,1,1,0,0,False
lvgl\src\lv_themes\lv_theme_alien.c,604,static void page_init(void),1.625,0.625,1.0,0.0,8,5,5,1,1,1,0,0,False
lvgl\src\lv_core\lv_obj.c,1987,lv_coord_t lv_obj_get_ext_click_pad_bottom(const lv_obj_t * obj),6.3333335,2.0,4.3333335,0.0,12,8,45,3,13,4,0,3,False
lvgl\src\lv_draw\lv_draw_basic.c,72,"void lv_draw_px(lv_coord_t x, lv_coord_t y, const lv_area_t * mask_p, lv_color_t color, lv_opa_t opa)",2.3529413,0.3529412,2.0,0.0,34,6,12,2,4,2,0,0,False
lvgl\src\lv_themes\lv_theme_default.c,162,static void sw_init(void),2.8,0.8,2.0,0.0,15,12,24,1,2,2,0,1,False
lvgl\src\lv_objx\lv_label.c,580,"void lv_label_get_letter_pos(const lv_obj_t * label, uint16_t char_id, lv_point_t * pos)",2.0070422,0.5070422,1.5,0.0,71,18,23,2,3,2,0,1,False
lvgl\src\lv_objx\lv_sw.c,168,"bool lv_sw_toggle(lv_obj_t * sw, lv_anim_enable_t anim)",1.2307693000000002,0.23076923,1.0,0.0,13,3,3,1,1,1,0,0,False
lvgl\src\lv_draw\lv_draw_rect.c,194,"static void lv_draw_rect_main_corner(const lv_area_t * coords, const lv_area_t * mask, const lv_style_t * style, lv_opa_t opa_scale)",2.3933055,1.3933055,1.0,0.0,239,111,111,3,3,1,0,0,False
lvgl\src\lv_themes\lv_theme_alien.c,540,static void btnm_init(void),1.90625,0.90625,1.0,0.0,32,29,29,1,1,1,0,0,False
lvgl\src\lv_themes\lv_theme_nemo.c,465,static void cb_init(void),2.9347825000000003,0.9347825999999999,2.0,0.0,46,43,86,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_night.c,103,static void btn_init(void),2.93617,0.9361702,2.0,0.0,47,44,88,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_nemo.c,263,static void img_init(void),2.7857141,0.78571427,2.0,0.0,14,11,22,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_templ.c,62,static void btn_init(void),2.7,0.7,2.0,0.0,10,7,14,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_zen.c,252,static void sw_init(void),2.857143,0.85714287,2.0,0.0,21,18,36,1,2,2,0,1,False
lvgl\src\lv_themes\lv_theme_default.c,416,"lv_theme_t * lv_theme_default_init(uint16_t hue, lv_font_t * font)",1.097561,0.09756097,1.0,0.0,41,4,4,1,1,1,0,0,False
