"sep=,"
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_core\lv_debug.c.xml,LV_DEBUG_STR_MAX_LENGTH;LV_DEBUG_STR_MAX_REPEAT;LV_USE_ASSERT_STYLE;LV_USE_DEBUG
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_core\lv_debug.h.xml,LV_ASSERT_MEM;LV_ASSERT_NULL;LV_ASSERT_OBJ;LV_ASSERT_STR;LV_ASSERT_STYLE;LV_DEBUG_ASSERT;LV_DEBUG_H;LV_DEBUG_IS_NULL;LV_DEBUG_IS_OBJ;LV_DEBUG_IS_STR;LV_DEBUG_IS_STYLE;LV_USE_ASSERT_MEM;LV_USE_ASSERT_NULL;LV_USE_ASSERT_OBJ;LV_USE_ASSERT_STR;LV_USE_ASSERT_STYLE;LV_USE_DEBUG;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_core\lv_disp.c.xml,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_core\lv_disp.h.xml,LV_DISP_H;LV_HOR_RES;LV_VER_RES;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_core\lv_group.c.xml,LV_COLOR_DEPTH;LV_GC_INCLUDE;LV_USE_GROUP;LV_USE_USER_DATA
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_core\lv_group.h.xml,LV_CONF_INCLUDE_SIMPLE;LV_GROUP_H;LV_USE_GROUP;LV_USE_USER_DATA;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_core\lv_indev.c.xml,LV_EXT_CLICK_AREA_FULL;LV_EXT_CLICK_AREA_TINY;LV_INDEV_DEF_DRAG_THROW;LV_USE_EXT_CLICK_AREA;LV_USE_GROUP
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_core\lv_indev.h.xml,LV_INDEV_H;LV_USE_GROUP;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_core\lv_obj.c.xml,LV_ENABLE_GC;LV_EXT_CLICK_AREA_FULL;LV_EXT_CLICK_AREA_TINY;LV_GC_INCLUDE;LV_MEM_CUSTOM;LV_USE_ANIMATION;LV_USE_BIDI;LV_USE_EXT_CLICK_AREA;LV_USE_FILESYSTEM;LV_USE_GROUP;LV_USE_LOG;LV_USE_OBJ_REALIGN;LV_USE_USER_DATA
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_core\lv_obj.h.xml,LV_ANTIALIAS;LV_CONF_INCLUDE_SIMPLE;LV_ENABLE_GC;LV_EXT_CLICK_AREA_FULL;LV_EXT_CLICK_AREA_TINY;LV_HOR_RES_MAX;LV_MEM_CUSTOM;LV_OBJ_H;LV_USE_EXT_CLICK_AREA;LV_USE_GROUP;LV_USE_OBJ_REALIGN;LV_USE_USER_DATA;LV_VER_RES_MAX;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_core\lv_refr.c.xml,LV_GC_INCLUDE;MASK_AREA_DEBUG
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_core\lv_refr.h.xml,LV_REFR_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_core\lv_style.c.xml,LV_USE_ANIMATION;LV_USE_ASSERT_STYLE;LV_USE_DEBUG
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_core\lv_style.h.xml,LV_STYLE_H;LV_USE_ANIMATION;LV_USE_ASSERT_STYLE;LV_USE_DEBUG;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw.c.xml,LV_ANTIALIAS;LV_GC_INCLUDE
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw.h.xml,LV_ANTIALIAS;LV_CONF_INCLUDE_SIMPLE;LV_DRAW_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw_arc.c.xml,LV_ANTIALIAS
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw_arc.h.xml,LV_DRAW_ARC_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw_basic.c.xml,LV_ATTRIBUTE_MEM_ALIGN;LV_COLOR_DEPTH;LV_COLOR_SCREEN_TRANSP;LV_FONT_SUBPX_BGR;LV_USE_GPU
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw_basic.h.xml,LV_CONF_INCLUDE_SIMPLE;LV_DRAW_BASIC_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw_img.c.xml,LV_COLOR_SIZE;LV_INDEXED_CHROMA
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw_img.h.xml,LV_DRAW_IMG_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw_label.c.xml,LV_USE_BIDI
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw_label.h.xml,LV_DRAW_LABEL_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw_line.c.xml,LV_ANTIALIAS
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw_line.h.xml,LV_DRAW_LINE_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw_rect.c.xml,CIRCLE_AA_NON_LINEAR_OPA_THRESHOLD;LV_ANTIALIAS;LV_USE_SHADOW
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw_rect.h.xml,LV_DRAW_RECT_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw_triangle.c.xml,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_draw_triangle.h.xml,LV_DRAW_TRIANGLE_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_img_cache.c.xml,LV_GC_INCLUDE;LV_IMG_CACHE_DEF_SIZE
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_img_cache.h.xml,LV_IMG_CACHE_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_img_decoder.c.xml,LV_COLOR_DEPTH;LV_GC_INCLUDE;LV_IMG_CF_ALPHA;LV_IMG_CF_INDEXED;LV_USE_FILESYSTEM
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_draw\lv_img_decoder.h.xml,LV_COLOR_DEPTH;LV_CONF_INCLUDE_SIMPLE;LV_IMG_DEOCER_H;LV_USE_USER_DATA;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_font\lv_font.c.xml,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_font\lv_font.h.xml,LV_CONF_INCLUDE_SIMPLE;LV_FONT_CUSTOM_DECLARE;LV_FONT_H;LV_FONT_ROBOTO_12;LV_FONT_ROBOTO_16;LV_FONT_ROBOTO_22;LV_FONT_ROBOTO_28;LV_FONT_UNSCII_8;LV_USE_USER_DATA;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_font\lv_font_fmt_txt.c.xml,
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_font\lv_font_fmt_txt.h.xml,LV_CONF_INCLUDE_SIMPLE;LV_FONT_FMT_TXT_H;LV_FONT_FMT_TXT_LARGE;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_font\lv_font_roboto_12.c.xml,LV_FONT_ROBOTO_12
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_font\lv_font_roboto_12_subpx.c.xml,LV_FONT_ROBOTO_12_SUBPX
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_font\lv_font_roboto_16.c.xml,LV_FONT_ROBOTO_16
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_font\lv_font_roboto_22.c.xml,LV_FONT_ROBOTO_22
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_font\lv_font_roboto_28.c.xml,LV_FONT_ROBOTO_28
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_font\lv_font_roboto_28_compressed.c.xml,LV_FONT_ROBOTO_28_COMPRESSED
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_font\lv_font_unscii_8.c.xml,LV_FONT_UNSCII_8
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_font\lv_symbol_def.h.xml,LV_CONF_INCLUDE_SIMPLE;LV_SYMBOL_DEF_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_hal\lv_hal.h.xml,LV_HAL_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_hal\lv_hal_disp.c.xml,LV_ANTIALIAS;LV_COLOR_SCREEN_TRANSP;LV_GC_INCLUDE;LV_USE_GPU;LV_USE_USER_DATA
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_hal\lv_hal_disp.h.xml,LV_ANTIALIAS;LV_ATTRIBUTE_FLUSH_READY;LV_COLOR_SCREEN_TRANSP;LV_HAL_DISP_H;LV_INV_BUF_SIZE;LV_USE_GPU;LV_USE_USER_DATA;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_hal\lv_hal_indev.c.xml,LV_GC_INCLUDE
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_hal\lv_hal_indev.h.xml,LV_CONF_INCLUDE_SIMPLE;LV_HAL_INDEV_H;LV_USE_USER_DATA;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_hal\lv_hal_tick.c.xml,LV_CONF_INCLUDE_SIMPLE;LV_TICK_CUSTOM
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_hal\lv_hal_tick.h.xml,LV_ATTRIBUTE_TICK_INC;LV_CONF_INCLUDE_SIMPLE;LV_HAL_TICK_H;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_anim.c.xml,LV_GC_INCLUDE;LV_USE_ANIMATION
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_anim.h.xml,ANIM_H;LV_CONF_INCLUDE_SIMPLE;LV_USE_ANIMATION;LV_USE_USER_DATA;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_area.c.xml,LV_CONF_INCLUDE_SIMPLE
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_area.h.xml,LV_AREA_H;LV_CONF_INCLUDE_SIMPLE;__cplusplus
D:\Pesquisa\Projects\lvgl-analysis\_cppstats_featurelocations\lvgl\src\lv_misc\lv_async.c.xml,
