"sep=,"
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\kseed.c.xml,LTC_KSEED;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\multi2.c.xml,LTC_MULTI2
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\noekeon.c.xml,LTC_CLEAN_STACK;LTC_NOEKEON;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\rc2.c.xml,LTC_CLEAN_STACK;LTC_RC2;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\rc5.c.xml,LTC_CLEAN_STACK;LTC_RC5;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\rc6.c.xml,LTC_CLEAN_STACK;LTC_RC6;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\safer\safer.c.xml,LTC_CLEAN_STACK;LTC_SAFER;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\safer\safer_tab.c.xml,__LTC_SAFER_TAB_C__
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\safer\saferp.c.xml,LTC_CLEAN_STACK;LTC_SAFERP;LTC_SMALL_CODE;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\serpent.c.xml,LTC_CLEAN_STACK;LTC_SERPENT;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\skipjack.c.xml,LTC_CLEAN_STACK;LTC_SKIPJACK;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\tea.c.xml,LTC_TEA;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\twofish\twofish.c.xml,LTC_CLEAN_STACK;LTC_TEST;LTC_TWOFISH;LTC_TWOFISH_ALL_TABLES;LTC_TWOFISH_SMALL;LTC_TWOFISH_TABLES;__GNUC__
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\twofish\twofish_tab.c.xml,LTC_TWOFISH_ALL_TABLES;LTC_TWOFISH_TABLES;__LTC_TWOFISH_TAB_C__
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\ciphers\xtea.c.xml,LTC_CLEAN_STACK;LTC_TEST;LTC_XTEA
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ccm\ccm_add_aad.c.xml,LTC_CCM_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ccm\ccm_add_nonce.c.xml,LTC_CCM_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ccm\ccm_done.c.xml,LTC_CCM_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ccm\ccm_init.c.xml,LTC_CCM_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ccm\ccm_memory.c.xml,LTC_CCM_MODE;LTC_CLEAN_STACK;LTC_FAST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ccm\ccm_process.c.xml,LTC_CCM_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ccm\ccm_reset.c.xml,LTC_CCM_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\ccm\ccm_test.c.xml,LTC_CCM_MODE;LTC_TEST
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\chachapoly\chacha20poly1305_add_aad.c.xml,LTC_CHACHA20POLY1305_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\chachapoly\chacha20poly1305_decrypt.c.xml,LTC_CHACHA20POLY1305_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\chachapoly\chacha20poly1305_done.c.xml,LTC_CHACHA20POLY1305_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\chachapoly\chacha20poly1305_encrypt.c.xml,LTC_CHACHA20POLY1305_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\chachapoly\chacha20poly1305_init.c.xml,LTC_CHACHA20POLY1305_MODE
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\chachapoly\chacha20poly1305_memory.c.xml,LTC_CHACHA20POLY1305_MODE;LTC_CLEAN_STACK
D:\Pesquisa\Projects\libtomcrypt-analysis\_cppstats_featurelocations\libtomcrypt\src\encauth\chachapoly\chacha20poly1305_setiv.c.xml,LTC_CHACHA20POLY1305_MODE
