"sep=,"
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\coroutine\win32\Context.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\coroutine\win64\Context.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\coroutine\x86\Context.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\debug.c.xml,RUBY_MSVCRT_VERSION;_WIN32;__CYGWIN__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\debug_counter.c.xml,USE_DEBUG_COUNTER
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\debug_counter.h.xml,RB_DEBUG_COUNTER;RUBY_DEBUG_COUNTER_H;USE_DEBUG_COUNTER;__GNUC__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\dir.c.xml,ATTR_DIR_ENTRYCOUNT;AT_FDCWD;CASEFOLD_FILESYSTEM;DOSISH;DT_UNKNOWN;FNM_SYSCASE;HAVE_CHROOT;HAVE_DIRECT_H;HAVE_DIRENT_H;HAVE_DIRENT_NAMLEN;HAVE_DIRFD;HAVE_DIR_DD_FD;HAVE_DIR_D_FD;HAVE_FDOPENDIR;HAVE_FGETATTRLIST;HAVE_FSTATAT;HAVE_GETATTRLIST;HAVE_LSTAT;HAVE_NDIR_H;HAVE_OPENAT;HAVE_SEEKDIR;HAVE_STDLIB_H;HAVE_STRING_H;HAVE_SYS_ATTR_H;HAVE_SYS_DIR_H;HAVE_SYS_NDIR_H;HAVE_TELLDIR;HAVE_UNISTD_H;IFTODT;NORMALIZE_UTF8PATH;O_CLOEXEC;O_DIRECTORY;RUBY_FUNCTION_NAME_STRING;S_IFLNK;S_ISDIR;S_ISLNK;USE_NAME_ON_FS;USE_NAME_ON_FS_BY_FNMATCH;USE_NAME_ON_FS_REAL_BASENAME;USE_OPENDIR_AT;_WIN32;__APPLE__;__sun;lstat
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\dln.c.xml,DLN_DEFAULT_LIB_PATH;DLN_DEFINED;DLN_NEEDS_ALT_SEPARATOR;DOSISH;HAVE_ALLOCA_H;HAVE_DLOPEN;HAVE_STDLIB_H;HAVE_STRING_H;HAVE_SYS_PARAM_H;HAVE_UNISTD_H;LIBC_NAME;MACOSX_DYLD;MAC_OS_X_VERSION_10_11;MAC_OS_X_VERSION_MIN_REQUIRED;MAXPATHLEN;NSLINKMODULE_OPTION_BINDNOW;NS_TARGET_MAJOR;N_COMM;N_INDR;N_MAGIC;NeXT;RELOC_ADDRESS;RTLD_GLOBAL;RTLD_LAZY;RUBY_EXPORT;R_SYMBOL;S_ISDIR;USE_DLN_A_OUT;USE_DLN_DLOPEN;_AIX;_UNICOSMP;_WIN32;__APPLE__;__CYGWIN__;__ELF__;__FreeBSD__;__INTERIX;__NetBSD__;__OpenBSD__;__clang__;__hp9000s300;__hpux;__sparc;__sun;dln_loaderror;sequent;xmalloc
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\dln.h.xml,DLN_FIND_EXTRA_ARG;DLN_FIND_EXTRA_ARG_DECL;DLN_H;HAVE_PROTOTYPES;HAVE_STDARG_PROTOTYPES;USE_DLN_A_OUT;__cplusplus
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\dln_find.c.xml,CharNext;DOSISH;DOSISH_DRIVE_LETTER;HAVE_ALLOCA_H;HAVE_DECL_GETENV;HAVE_STDLIB_H;HAVE_STRING_H;HAVE_UNISTD_H;RUBY_EXPORT;S_ISDIR;S_ISREG;USE_DLN_A_OUT;_WIN32
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\dmydln.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\dmyenc.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\dmyext.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\ascii.c.xml,ENCINDEX_ASCII;RUBY
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\big5.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\cesu_8.c.xml,RUBY;USE_INVALID_CODE_SCHEME;USE_UNICODE_ALL_LINE_TERMINATORS;USE_UNICODE_CASE_FOLD_TURKISH_AZERI
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\cp949.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\ebcdic.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\emacs_mule.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\encdb.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\euc_jp.c.xml,ENC_EUC_JIS_2004
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\euc_kr.c.xml,RUBY
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\euc_tw.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\gb18030.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\gb2312.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\gbk.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_2022_jp.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859_1.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859_10.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859_11.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859_13.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859_14.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859_15.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859_16.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859_2.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859_3.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859_4.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859_5.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859_6.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859_7.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859_8.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\iso_8859_9.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\koi8_r.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\koi8_u.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\mktable.c.xml,__USE_ISOC99
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\shift_jis.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\shift_jis.h.xml,ENC_CP932
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\trans\transdb.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\unicode.c.xml,ONIG_UNICODE_VERSION_MAJOR;ONIG_UNICODE_VERSION_STRING;USE_UNICODE_CASE_FOLD_TURKISH_AZERI;USE_UNICODE_PROPERTIES
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\unicode\12.1.0\casefold.h.xml,ONIG_UNICODE_VERSION_MAJOR;ONIG_UNICODE_VERSION_MINOR;ONIG_UNICODE_VERSION_STRING;ONIG_UNICODE_VERSION_TEENY;__GNUC__;__cplusplus
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\unicode\12.1.0\name2ctype.h.xml,ONIG_UNICODE_EMOJI_VERSION_MAJOR;ONIG_UNICODE_EMOJI_VERSION_MINOR;ONIG_UNICODE_EMOJI_VERSION_STRING;ONIG_UNICODE_VERSION_MAJOR;ONIG_UNICODE_VERSION_MINOR;ONIG_UNICODE_VERSION_STRING;ONIG_UNICODE_VERSION_TEENY;USE_UNICODE_AGE_PROPERTIES;USE_UNICODE_PROPERTIES;__GNUC__;__cplusplus
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\us_ascii.c.xml,ENCINDEX_US_ASCII;RUBY
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\utf_16_32.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\utf_16be.c.xml,USE_UNICODE_ALL_LINE_TERMINATORS;USE_UNICODE_CASE_FOLD_TURKISH_AZERI
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\utf_16le.c.xml,USE_UNICODE_ALL_LINE_TERMINATORS;USE_UNICODE_CASE_FOLD_TURKISH_AZERI
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\utf_32be.c.xml,USE_UNICODE_ALL_LINE_TERMINATORS;USE_UNICODE_CASE_FOLD_TURKISH_AZERI
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\utf_32le.c.xml,USE_UNICODE_ALL_LINE_TERMINATORS;USE_UNICODE_CASE_FOLD_TURKISH_AZERI
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\utf_7.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\utf_8.c.xml,ENCINDEX_UTF_8;RUBY;USE_INVALID_CODE_SCHEME;USE_UNICODE_ALL_LINE_TERMINATORS;USE_UNICODE_CASE_FOLD_TURKISH_AZERI
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\windows_1250.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\windows_1251.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\windows_1252.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\windows_1253.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\windows_1254.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\windows_1257.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\windows_31j.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enc\x_emoji.h.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\encindex.h.xml,RUBY_ENCINDEX_H;__cplusplus
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\encoding.c.xml,ENC_DEBUG;_WIN32;__GNUC__
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enum.c.xml,
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\enumerator.c.xml,HAVE_FLOAT_H;SIZEOF_INT;SIZEOF_LONG
D:\Pesquisa\Projects\ruby-analysis\_cppstats_featurelocations\ruby\eval.c.xml,HAVE_SYS_PRCTL_H;OPT_SUPPORT_JOKE;PR_SET_THP_DISABLE;__linux__
