File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\git-analysis\source\git\compat\unsetenv.c,0.875,-0.125,1.0,0.0,24,3,3,1,1,1,0,true
D:\Pesquisa\Projects\git-analysis\source\git\abspath.c,0.83928573,-0.16071428,1.0,0.0,168,9,9,3,2,3,0,true
D:\Pesquisa\Projects\git-analysis\source\git\trace2.c,0.8193431,-0.18065694,1.0,0.0,548,33,33,3,1,3,0,true
D:\Pesquisa\Projects\git-analysis\source\git\sha1dc_git.c,0.7407408,-0.25925925,1.0,0.0,27,7,7,1,1,1,0,true
D:\Pesquisa\Projects\git-analysis\source\git\http-walker.c,0.72177684,-0.44488978,1.1666666,0.0,499,37,41,7,2,6,0,true
D:\Pesquisa\Projects\git-analysis\source\git\cache-tree.c,0.70882356,-0.29117647,1.0,0.0,680,33,33,6,1,6,0,true
D:\Pesquisa\Projects\git-analysis\source\git\compat\strtoimax.c,0.59090906,-0.90909094,1.5,0.0,11,5,9,3,2,2,0,true
D:\Pesquisa\Projects\git-analysis\source\git\compat\strtoumax.c,0.59090906,-0.90909094,1.5,0.0,11,5,9,3,2,2,0,true
D:\Pesquisa\Projects\git-analysis\source\git\base85.c,0.415978,-0.91735536,1.3333334,0.0,121,37,43,4,2,3,0,true
D:\Pesquisa\Projects\git-analysis\source\git\trace2\tr2_dst.c,0.3925926,-0.6074074,1.0,0.0,270,82,82,2,1,2,0,true
D:\Pesquisa\Projects\git-analysis\source\git\trace.c,0.30609417,-2.1939058,2.5,0.0,361,132,262,15,5,6,0,true
D:\Pesquisa\Projects\git-analysis\source\git\http-push.c,0.2240721,-0.85285103,1.0769231,0.0,1631,107,111,14,5,13,0,true
D:\Pesquisa\Projects\git-analysis\source\git\t\helper\test-windows-named-pipe.c,0.08333331,-0.9166667,1.0,0.0,60,55,55,1,1,1,0,true
D:\Pesquisa\Projects\git-analysis\source\git\t\helper\test-drop-caches.c,0.02692318,-3.7230768,3.75,0.0,130,121,234,15,4,4,0,true
D:\Pesquisa\Projects\git-analysis\source\git\grep.c,-0.6647205,-2.1980538,1.3333334,0.2,1747,256,331,20,5,15,3,true
D:\Pesquisa\Projects\git-analysis\source\git\daemon.c,-1.2626711,-2.619814,1.2857143,0.071428575,1181,221,328,18,5,14,1,true
D:\Pesquisa\Projects\git-analysis\source\git\compat\terminal.c,-1.8398576,-4.8398576,2.0,1.0,281,272,876,10,4,5,5,true
D:\Pesquisa\Projects\git-analysis\source\git\gettext.c,-2.4225183,-5.279661,1.7142857,1.1428572,118,89,128,12,4,7,8,true
D:\Pesquisa\Projects\git-analysis\source\git\compat\inet_ntop.c,-2.590909,-3.590909,1.0,0.0,110,79,79,5,4,5,0,true
D:\Pesquisa\Projects\git-analysis\source\git\compat\inet_pton.c,-2.887324,-3.887324,1.0,0.0,142,92,92,6,4,6,0,true
D:\Pesquisa\Projects\git-analysis\source\git\compat\regex\regex.c,-4.525,-6.4,1.375,0.5,50,40,56,11,9,8,4,true
D:\Pesquisa\Projects\git-analysis\source\git\imap-send.c,-6.211537,-7.915241,1.3333334,0.37037036,1286,377,570,36,7,27,10,true
D:\Pesquisa\Projects\git-analysis\source\git\exec-cmd.c,-6.378336,-8.22449,1.0769231,0.7692308,245,155,244,14,6,13,10,true
D:\Pesquisa\Projects\git-analysis\source\git\run-command.c,-6.4452767,-8.127095,1.3636364,0.3181818,1432,529,693,30,4,22,7,true
D:\Pesquisa\Projects\git-analysis\source\git\thread-utils.c,-9.255814,-13.255814,2.2666667,1.7333333,86,76,318,34,12,15,26,true
D:\Pesquisa\Projects\git-analysis\source\git\compat\nedmalloc\nedmalloc.c,-15.728627,-17.16,1.254902,0.1764706,850,286,517,64,17,51,9,true
D:\Pesquisa\Projects\git-analysis\source\git\compat\poll\poll.c,-16.789978,-19.389978,1.85,0.75,459,445,783,37,20,20,15,true
D:\Pesquisa\Projects\git-analysis\source\git\http.c,-22.583315,-23.912725,1.2823529,0.047058824,2051,577,742,109,10,85,4,true
D:\Pesquisa\Projects\git-analysis\source\git\sha1dc\sha1.c,-195.41656,-196.89597,1.4419476,0.037453182,1413,1042,1403,385,140,267,10,true
