"sep=,"
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_6502_cs.c.xml,CAPSTONE_HAS_MOS65XX;CS_API_MAJOR;CS_API_MINOR;R2_PLUGIN_INCORE;USE_ITER_API
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_8051.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_amd29k.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_arc.c.xml,DEBUG;R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_arm_cs.c.xml,CS_API_MAJOR;R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_arm_gnu.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_avr.c.xml,R2_PLUGIN_INCORE;_MSC_VER
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_bf.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_chip8.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_cr16.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_cris.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_dalvik.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_ebc.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_gb.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_h8300.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_hexagon.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_i4004.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_i8080.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_java.c.xml,IFDBG;R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_m680x_cs.c.xml,CAPSTONE_HAS_M680X;CS_API_MAJOR;CS_API_MINOR;R2_PLUGIN_INCORE;_MSC_VER
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_m68k_cs.c.xml,CAPSTONE_HAS_M68K;CAPSTONE_M68K_H;CS_API_MAJOR;R2_PLUGIN_INCORE;_MSC_VER
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_malbolge.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_mcore.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_mips_cs.c.xml,CS_API_MAJOR;R2_PLUGIN_INCORE;USE_DS
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_mips_gnu.c.xml,R2_PLUGIN_INCORE;WIP
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_msp430.c.xml,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_nios2.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_null.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_or1k.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_pic.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_ppc_cs.c.xml,CS_API_MAJOR;PFMT32x;R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_ppc_gnu.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_propeller.c.xml,
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_riscv.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_riscv_cs.c.xml,CSNEXT;R2_PLUGIN_INCORE;USE_DS
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_rsp.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_sh.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_snes.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_sparc_cs.c.xml,CS_API_MAJOR;R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_sparc_gnu.c.xml,R2_PLUGIN_INCORE
D:\Pesquisa\Projects\radare2-analysis\_cppstats_featurelocations\radare2\libr\anal\p\anal_sysz.c.xml,CS_API_MAJOR;R2_PLUGIN_INCORE
