"sep=,"
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\change.c.xml,FEAT_CINDENT;FEAT_DIFF;FEAT_EVAL;FEAT_FOLDING;FEAT_GUI_GTK;FEAT_JUMPLIST;FEAT_LISP;FEAT_NETBEANS_INTG;FEAT_PROP_POPUP;FEAT_QUICKFIX;FEAT_RIGHTLEFT;FEAT_SEARCH_EXTRA;FEAT_SMARTINDENT;FEAT_SYN_HL;FEAT_TITLE;FEAT_VARTABS;FEAT_XIM
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\channel.c.xml,CH_HAS_GUI;EAGAIN;EINPROGRESS;EINTR;ELAPSED_FUNC;EXITFREE;FEAT_GUI;FEAT_GUI_GTK;FEAT_GUI_X11;FEAT_JOB_CHANNEL;FEAT_NETBEANS_INTG;FEAT_QUICKFIX;FEAT_RELTIME;FEAT_TERMGUICOLORS;FEAT_TERMINAL;GUI_MAY_FORK;GUI_MAY_SPAWN;HAVE_LIBGEN_H;HAVE_SELECT;MSWIN;PROTO;UNIX;USE_ARGV;USE_PRINTF_FORMAT_ATTRIBUTE
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\charset.c.xml,BACKSLASH_IN_FILENAME;EBCDIC;FEAT_GUI_GTK;FEAT_LINEBREAK;FEAT_LISP;FEAT_POSTSCRIPT;FEAT_SPELL;FEAT_SYN_HL;FEAT_TERMRESPONSE;FEAT_VARTABS;HAVE_ISWLOWER;HAVE_ISWUPPER;HAVE_TOWLOWER;HAVE_TOWUPPER;HAVE_WCHAR_H;PROTO
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\cindent.c.xml,EBCDIC;FEAT_CINDENT;FEAT_EVAL;FEAT_SMARTINDENT;FEAT_SYN_HL;PROTO
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\clipboard.c.xml,DEBUG_SELECTION;FEAT_CLIPBOARD;FEAT_CYGWIN_WIN32_CLIPBOARD;FEAT_GUI;FEAT_GUI_GTK;FEAT_GUI_X11;FEAT_PROP_POPUP;FEAT_X11;FEAT_XCLIPBOARD;PROTO;USE_CRNL;USE_SYSTEM;X_HAVE_UTF8_STRING
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\cmdexpand.c.xml,BACKSLASH_IN_FILENAME;FEAT_CSCOPE;FEAT_DIFF;FEAT_EVAL;FEAT_MENU;FEAT_MULTI_LANG;FEAT_PROFILE;FEAT_SEARCH_EXTRA;FEAT_SIGNS;FEAT_SYN_HL;FEAT_WILDMENU;FNAME_ILLEGAL;HAVE_LOCALE_H;MSWIN;PROTO;SPACE_IN_FILENAME;X_LOCALE
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\cmdhist.c.xml,FEAT_CRYPT;FEAT_EVAL;PROTO
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\crypt.c.xml,CRYPT_NOT_INPLACE;FEAT_CRYPT;PROTO
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\crypt_zip.c.xml,FEAT_CRYPT;PROTO
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\debugger.c.xml,ALWAYS_USE_GUI;FEAT_EVAL;FEAT_PROFILE;PROTO
