"sep=,"
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\evalbuffer.c.xml,FEAT_EVAL;FEAT_JOB_CHANNEL;FEAT_PROP_POPUP;FEAT_PYTHON;FEAT_PYTHON3;FEAT_QUICKFIX;FEAT_SIGNS;FEAT_VIMINFO;PROTO
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\evalfunc.c.xml,ALL_BUILTIN_TCAPS;AMIGA;BSD;CASE_INSENSITIVE_FILENAME;CURSOR_SHAPE;DEBUG;DYNAMIC_ICONV;DYNAMIC_LUA;DYNAMIC_MZSCHEME;DYNAMIC_PERL;DYNAMIC_PYTHON;DYNAMIC_PYTHON3;DYNAMIC_RUBY;DYNAMIC_TCL;EBCDIC;FEAT_ARABIC;FEAT_ARP;FEAT_AUTOCHDIR;FEAT_AUTOSERVERNAME;FEAT_BEVAL;FEAT_BEVAL_GUI;FEAT_BEVAL_TERM;FEAT_BROWSE;FEAT_BYTEOFF;FEAT_CINDENT;FEAT_CLIENTSERVER;FEAT_CLIPBOARD;FEAT_CMDL_INFO;FEAT_CONCEAL;FEAT_CON_DIALOG;FEAT_CRYPT;FEAT_CSCOPE;FEAT_DIFF;FEAT_DIGRAPHS;FEAT_DIRECTX;FEAT_DND;FEAT_EMACS_TAGS;FEAT_EVAL;FEAT_FILTERPIPE;FEAT_FIND_ID;FEAT_FLOAT;FEAT_FOLDING;FEAT_FOOTER;FEAT_GETTEXT;FEAT_GUI;FEAT_GUI_ATHENA;FEAT_GUI_DIALOG;FEAT_GUI_GNOME;FEAT_GUI_GTK;FEAT_GUI_HAIKU;FEAT_GUI_MAC;FEAT_GUI_MOTIF;FEAT_GUI_MSWIN;FEAT_GUI_NEXTAW;FEAT_GUI_PHOTON;FEAT_GUI_TEXTDIALOG;FEAT_JOB_CHANNEL;FEAT_JUMPLIST;FEAT_KEYMAP;FEAT_LANGMAP;FEAT_LIBCALL;FEAT_LINEBREAK;FEAT_LISP;FEAT_LUA;FEAT_MBYTE_IME;FEAT_MENU;FEAT_MOUSESHAPE;FEAT_MOUSE_DEC;FEAT_MOUSE_GPM;FEAT_MOUSE_JSB;FEAT_MOUSE_NET;FEAT_MOUSE_PTERM;FEAT_MOUSE_URXVT;FEAT_MOUSE_XTERM;FEAT_MULTI_LANG;FEAT_MZSCHEME;FEAT_NETBEANS_INTG;FEAT_OLE;FEAT_PATH_EXTRA;FEAT_PERL;FEAT_PERSISTENT_UNDO;FEAT_POSTSCRIPT;FEAT_PRINTER;FEAT_PROFILE;FEAT_PROP_POPUP;FEAT_PYTHON;FEAT_PYTHON3;FEAT_QUICKFIX;FEAT_RELTIME;FEAT_RIGHTLEFT;FEAT_RUBY;FEAT_SEARCHPATH;FEAT_SEARCH_EXTRA;FEAT_SESSION;FEAT_SIGNS;FEAT_SMARTINDENT;FEAT_SOUND;FEAT_SPELL;FEAT_STL_OPT;FEAT_SYN_HL;FEAT_SYSMOUSE;FEAT_TAG_BINS;FEAT_TCL;FEAT_TERMGUICOLORS;FEAT_TERMINAL;FEAT_TERMRESPONSE;FEAT_TEXTOBJ;FEAT_TIMERS;FEAT_TITLE;FEAT_TOOLBAR;FEAT_VARTABS;FEAT_VIMINFO;FEAT_VTP;FEAT_WAK;FEAT_WILDIGN;FEAT_WILDMENU;FEAT_WRITEBACKUP;FEAT_X11;FEAT_XCLIPBOARD;FEAT_XFONTSET;FEAT_XIM;FEAT_XPM_W32;FEAT_XTERM_SAVE;HAVE_ACL;HAVE_ICONV_H;HAVE_MATH_H;HAVE_STRFTIME;HAVE_STRPTIME;HAVE_TGETENT;HAVE_XPM;MACOS_X;MACOS_X_DARWIN;MSWIN;NO_CONSOLE_INPUT;PROTO;SOME_BUILTIN_TCAPS;STARTUPTIME;SUN_SYSTEM;TERMINFO;UNIX;USE_FILE_CHOOSER;USE_GTK3;USE_ICONV;USE_INPUT_BUF;USE_SYSTEM;USE_XSMP;USE_XSMP_INTERACT;VIMDLL;VMS;_WIN64;__BEOS__;__CYGWIN__;__HAIKU__;__QNX__;__linux__;hpux
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\evalvars.c.xml,EXITFREE;FEAT_DIFF;FEAT_EVAL;FEAT_MENU;FEAT_MULTI_LANG;FEAT_POSTSCRIPT;FEAT_SEARCH_EXTRA;FEAT_SPELL;PROTO
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\evalwindow.c.xml,FEAT_CMDWIN;FEAT_DIFF;FEAT_EVAL;FEAT_GUI;FEAT_MENU;FEAT_PROP_POPUP;FEAT_PYTHON;FEAT_PYTHON3;FEAT_QUICKFIX;FEAT_TERMINAL;FEAT_TERMRESPONSE;HAVE_TGETENT;MSWIN;PROTO
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\ex_cmdidxs.h.xml,
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\ex_cmds.c.xml,AMIGA;EBCDIC;EXITFREE;FEAT_ARABIC;FEAT_AUTOCHDIR;FEAT_BROWSE;FEAT_BROWSE_CMD;FEAT_CLIPBOARD;FEAT_CON_DIALOG;FEAT_DIFF;FEAT_DIGRAPHS;FEAT_EVAL;FEAT_FILTERPIPE;FEAT_FLOAT;FEAT_FOLDING;FEAT_GUI;FEAT_GUI_DIALOG;FEAT_GUI_MSWIN;FEAT_KEYMAP;FEAT_MULTI_LANG;FEAT_NETBEANS_INTG;FEAT_PROP_POPUP;FEAT_QUICKFIX;FEAT_RIGHTLEFT;FEAT_SPELL;FEAT_SYN_HL;FEAT_TERMINAL;FEAT_TITLE;FEAT_VIMINFO;HAVE_SANDBOX;MSWIN;PROTO;UNIX;USE_FNAME_CASE;USE_GUI;USE_ON_FLY_SCROLL;VIMDLL
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\ex_cmds.h.xml,DO_DECLARE_EXCMD;FEAT_EVAL;HAVE_SANDBOX
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\ex_cmds2.c.xml,EXITFREE;FEAT_BROWSE;FEAT_CLIPBOARD;FEAT_CON_DIALOG;FEAT_EVAL;FEAT_FLOAT;FEAT_GUI_DIALOG;FEAT_MULTI_LANG;FEAT_PYTHON;FEAT_PYTHON3;FEAT_QUICKFIX;FEAT_SYN_HL;FEAT_TERMINAL;FEAT_TITLE;HAVE_GET_LOCALE_VAL;HAVE_LOCALE_H;HAVE_NL_MSG_CAT_CNTR;LC_MESSAGES;LC_NUMERIC;MSWIN;PROTO;X_LOCALE
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\ex_docmd.c.xml,BACKSLASH_IN_FILENAME;CURSOR_SHAPE;ELAPSED_FUNC;EXITFREE;FEAT_BROWSE;FEAT_BROWSE_CMD;FEAT_BYTEOFF;FEAT_CLIENTSERVER;FEAT_CLIPBOARD;FEAT_CMDWIN;FEAT_CON_DIALOG;FEAT_CRYPT;FEAT_CSCOPE;FEAT_DIFF;FEAT_DIGRAPHS;FEAT_EVAL;FEAT_FIND_ID;FEAT_FOLDING;FEAT_GUI;FEAT_GUI_DIALOG;FEAT_GUI_GTK;FEAT_GUI_MOTIF;FEAT_GUI_MSWIN;FEAT_JOB_CHANNEL;FEAT_JUMPLIST;FEAT_KEYMAP;FEAT_LUA;FEAT_MENU;FEAT_MZSCHEME;FEAT_NETBEANS_INTG;FEAT_PERL;FEAT_PERSISTENT_UNDO;FEAT_PRINTER;FEAT_PROFILE;FEAT_PROP_POPUP;FEAT_PYTHON;FEAT_PYTHON3;FEAT_QUICKFIX;FEAT_RIGHTLEFT;FEAT_RUBY;FEAT_SEARCHPATH;FEAT_SEARCH_EXTRA;FEAT_SESSION;FEAT_SIGNS;FEAT_SOUND;FEAT_SPELL;FEAT_SYN_HL;FEAT_TCL;FEAT_TEAROFF;FEAT_TERMINAL;FEAT_TERM_POPUP_MENU;FEAT_TIMERS;FEAT_TITLE;FEAT_VIMINFO;FEAT_VTP;FEAT_X11;FEAT_XCLIPBOARD;HAVE_DROP_FILE;HAVE_EX_SCRIPT_NI;HAVE_LOCALE_H;HAVE_SANDBOX;HAVE_TGETENT;MESSAGE_QUEUE;MSWIN;PROTO;UNIX;USE_ON_FLY_SCROLL;VIMDLL;VMS;X_LOCALE;_MSC_VER
D:\Pesquisa\Projects\_cppstats_featurelocations\vim\src\ex_eval.c.xml,FEAT_EVAL;PROTO;THROW_ON_ERROR_TRUE;THROW_ON_INTERRUPT_TRUE;THROW_TEST
