FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
neovim\src\nvim\path.c,323,"int path_fnamencmp(const char * const fname1, const char * const fname2, size_t len) FUNC_ATTR_NONNULL_ALL FUNC_ATTR_PURE FUNC_ATTR_WARN_UNUSED_RESULT",3.1551723,1.6551725,1.5,0.0,29,24,31,2,3,2,0,1,false
neovim\src\nvim\mbyte.c,1036,bool utf_printable(int c),3.0714285,1.5714285,1.5,0.0,14,11,21,2,3,2,0,1,false
neovim\src\nvim\shada.c,3281,static inline uint64_t be64toh(uint64_t big_endian_64_bits),3.0384617,1.5384616,1.5,0.0,13,10,19,2,3,2,0,1,false
neovim\src\nvim\ex_getln.c,4044,"char * vim_strsave_fnameescape(const char * const fname, const bool shell) FUNC_ATTR_NONNULL_RET FUNC_ATTR_MALLOC FUNC_ATTR_NONNULL_ALL",3.0,1.5,1.5,0.0,32,24,37,2,3,2,0,1,false
neovim\src\nvim\msgpack_rpc\server.c,87,char * server_address_new(void),3.0,1.5,1.5,0.0,12,9,13,2,3,2,0,1,false
neovim\src\nvim\charset.c,1877,bool rem_backslash(const char_u * str) FUNC_ATTR_PURE FUNC_ATTR_WARN_UNUSED_RESULT FUNC_ATTR_NONNULL_ALL,2.9666667,1.4666667,1.5,0.0,15,11,15,2,3,2,0,1,false
neovim\src\nvim\os\time.c,118,"struct tm * os_localtime_r(const time_t * restrict clock, struct tm * restrict result) FUNC_ATTR_NONNULL_ALL",2.9285715,1.4285715,1.5,0.0,14,10,19,2,3,2,0,1,false
neovim\src\nvim\os\env.c,127,"int os_setenv(const char * name, const char * value, int overwrite) FUNC_ATTR_NONNULL_ALL",2.9166667,1.5833334,1.3333334,0.0,36,19,25,3,4,2,0,1,false
neovim\src\nvim\path.c,2286,int path_is_absolute(const char_u * fname),2.9,1.4,1.5,0.0,10,7,11,2,3,2,0,1,false
neovim\src\nvim\buffer.c,154,"int open_buffer(int read_stdin, exarg_T * eap, int flags)",2.8204722,1.2204725,1.0,0.6,127,31,41,5,5,4,3,0,false
neovim\src\nvim\path.c,302,"int path_fnamecmp(const char * fname1, const char * fname2) FUNC_ATTR_NONNULL_ALL FUNC_ATTR_PURE FUNC_ATTR_WARN_UNUSED_RESULT",2.7727273,1.2727273,1.5,0.0,11,7,11,2,3,2,0,1,false
neovim\src\nvim\math.c,18,int xfpclassify(double d),2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,false
neovim\src\nvim\math.c,31,int xisnan(double d),2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,false
neovim\src\nvim\os\env.c,348,int64_t os_get_pid(void),2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,false
neovim\src\nvim\os\users.c,113,"int os_get_user_name(char * s, size_t len)",2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,false
neovim\src\nvim\path.c,236,int vim_ispathlistsep(int c),2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,false
neovim\test\functional\fixtures\tty-test.c,24,bool owns_tty(void),2.75,1.25,1.5,0.0,8,5,9,2,3,2,0,1,false
neovim\src\nvim\os\fileio.c,280,"ptrdiff_t file_read(FileDescriptor * const fp, char * const ret_buf, const size_t size) FUNC_ATTR_NONNULL_ALL FUNC_ATTR_WARN_UNUSED_RESULT",2.7222223,1.2222222,1.5,0.0,72,44,68,2,3,2,0,1,false
neovim\src\nvim\os\users.c,144,char * os_get_user_directory(const char * name),2.6923077,0.6923077,2.0,0.0,13,9,18,1,2,2,0,0,false
neovim\src\nvim\os\env.c,405,void init_homedir(void),2.6666665,1.6666666,1.0,0.0,54,45,45,2,2,2,0,0,false
neovim\test\symbolic\klee\viml_expressions_parser.c,33,"int main(const int argc, const char * const * const argv, const char * const * const environ)",2.6473684,1.4473684,1.2,0.0,76,22,27,5,6,2,0,2,false
neovim\src\nvim\os\users.c,126,"int os_get_uname(uv_uid_t uid, char * s, size_t len)",2.6153846,0.61538464,2.0,0.0,13,8,16,1,2,2,0,0,false
neovim\src\nvim\charset.c,1634,"int getdigits_int(char_u * * pp, bool strict, int def)",2.5833333,0.5833333,2.0,0.0,12,7,14,1,2,2,0,0,false
neovim\src\nvim\charset.c,1650,"long getdigits_long(char_u * * pp, bool strict, long def)",2.5833333,0.5833333,2.0,0.0,12,7,14,1,2,2,0,0,false
neovim\src\nvim\mbyte.c,469,int utf_char2cells(int c),2.532258,1.032258,1.5,0.0,31,16,25,2,3,2,0,1,false
neovim\src\nvim\eval\funcs.c,1412,"static void f_debugbreak(typval_T * argvars, typval_T * rettv, FunPtr fptr)",2.5,1.0,1.5,0.0,20,10,14,2,3,2,0,1,false
neovim\src\nvim\path.c,509,bool path_has_exp_wildcard(const char_u * p) FUNC_ATTR_NONNULL_ALL,2.4473684,0.94736844,1.5,0.0,19,9,13,2,3,2,0,1,false
neovim\src\nvim\os\stdpaths.c,95,char * get_xdg_home(const XDGVarType idx) FUNC_ATTR_WARN_UNUSED_RESULT,2.4333334,0.93333334,1.5,0.0,15,7,11,2,3,2,0,1,false
neovim\src\nvim\event\libuv_process.c,22,int libuv_process_spawn(LibuvProcess * uvproc) FUNC_ATTR_NONNULL_ALL,2.4136362,1.1636363,1.25,0.0,55,16,20,4,5,2,0,1,false
neovim\src\nvim\fileio.c,4574,"int vim_rename(const char_u * from, const char_u * to) FUNC_ATTR_NONNULL_ALL",2.412844,1.412844,1.0,0.0,109,22,22,7,7,2,0,1,false
neovim\src\nvim\eval.c,12049,void func_unref(char_u * name),2.4,0.9,1.5,0.0,20,9,14,2,3,2,0,1,false
neovim\src\nvim\path.c,474,bool path_has_wildcard(const char_u * p) FUNC_ATTR_NONNULL_ALL,2.4,0.9,1.5,0.0,20,9,13,2,3,2,0,1,false
neovim\src\nvim\ex_cmds2.c,3563,static char_u * get_one_sourceline(struct source_cookie * sp),2.329114,1.329114,1.0,0.0,79,35,35,3,3,1,0,0,false
neovim\src\nvim\strings.c,185,"char_u * vim_strsave_shellescape(const char_u * string, bool do_special, bool do_newline) FUNC_ATTR_NONNULL_RET FUNC_ATTR_MALLOC FUNC_ATTR_NONNULL_ALL",2.2857141,1.2857143,1.0,0.0,84,27,27,4,4,1,0,0,false
neovim\src\nvim\os\stdpaths.c,59,char * stdpaths_get_xdg_var(const XDGVarType idx) FUNC_ATTR_WARN_UNUSED_RESULT,2.2826087,0.7826087,1.5,0.0,23,9,15,2,3,2,0,1,false
neovim\src\nvim\ex_cmds2.c,3004,static FILE * fopen_noinh_readbin(char * filename),2.2692308,0.7692308,1.5,0.0,13,5,9,2,3,2,0,1,false
neovim\src\nvim\os\fs.c,134,bool os_isdir_executable(const char * name) FUNC_ATTR_NONNULL_ALL,2.2692308,0.7692308,1.5,0.0,13,5,9,2,3,2,0,1,false
neovim\src\nvim\path.c,1164,"int gen_expand_wildcards(int num_pat, char_u * * pat, int * num_file, char_u * * * file, int flags)",2.2609892,1.0109891,1.25,0.0,91,23,27,4,5,3,0,1,false
neovim\src\nvim\msgpack_rpc\channel.c,56,void rpc_start(Channel * channel),2.2380953,0.23809524,2.0,0.0,21,5,10,1,2,2,0,0,false
neovim\src\nvim\quickfix.c,552,static size_t efm_regpat_bufsz(char_u * efm),2.2142859,0.71428573,1.5,0.0,14,5,9,2,3,2,0,1,false
neovim\src\nvim\fileio.c,3784,static bool msg_add_fileformat(int eol_type),2.2,1.2,1.0,0.0,20,12,12,2,2,1,0,1,false
neovim\src\nvim\buffer.c,2081,buf_T * buflist_findname_exp(char_u * fname),2.0882354,0.5882353,1.5,0.0,17,5,9,2,3,2,0,1,false
neovim\src\nvim\state.c,25,void state_enter(VimState * s),2.0833333,0.083333336,2.0,0.0,36,3,6,1,2,2,0,0,false
neovim\src\nvim\ex_getln.c,3970,"void ExpandEscape(expand_T * xp, char_u * str, int numfiles, char_u * * files, int options)",2.0507247,0.7173913,1.3333334,0.0,46,11,16,3,4,2,0,1,false
neovim\src\nvim\normal.c,6525,static void nv_g_cmd(cmdarg_T * cap),2.0080862,0.008086253,2.0,0.0,371,3,6,1,2,2,0,1,false
neovim\src\nvim\event\loop.c,134,"bool loop_close(Loop * loop, bool wait)",1.9736842,0.47368422,1.5,0.0,38,9,17,2,3,2,0,1,false
neovim\src\nvim\spell.c,3605,"static void suggest_trie_walk(suginfo_T * su, langp_T * lp, char_u * fword, bool soundfold)",1.9688581,0.9688581,1.0,0.0,867,70,70,12,12,1,0,0,false
neovim\src\nvim\regexp_nfa.c,6349,"static long nfa_regtry(nfa_regprog_T * prog, colnr_T col, proftime_T * tm, int * timed_out)",1.9455782,0.6122449,1.0,0.33333334,98,20,23,3,3,1,1,0,false
neovim\src\nvim\os\signal.c,86,void signal_stop(void),1.9230769,0.9230769,1.0,0.0,13,6,6,2,2,2,0,0,false
neovim\src\nvim\file_search.c,1026,"static ff_visited_list_hdr_T * ff_get_visited_list(char_u * filename, ff_visited_list_hdr_T * * list_headp)",1.9142857,0.9142857,1.0,0.0,35,16,16,2,2,1,0,0,false
neovim\src\nvim\regexp_nfa.c,6571,"static regprog_T * nfa_regcomp(char_u * expr, int re_flags)",1.9047619,0.9047619,1.0,0.0,63,19,19,3,3,1,0,0,false
neovim\src\nvim\file_search.c,574,char_u * vim_findfile(void * search_ctx_arg),1.8602151,0.86021507,1.0,0.0,279,48,48,5,5,1,0,1,false
neovim\src\nvim\ex_eval.c,1167,void do_throw(cstack_T * cstack),1.8571429,0.85714287,1.0,0.0,28,12,12,2,2,2,0,2,false
neovim\src\nvim\os\signal.c,71,void signal_teardown(void),1.8571429,0.85714287,1.0,0.0,14,6,6,2,2,2,0,0,false
neovim\src\nvim\os\fs.c,487,int os_set_cloexec(const int fd),1.8181818,0.8181818,1.0,0.0,22,18,18,1,1,1,0,0,false
neovim\src\nvim\path.c,1885,"int pathcmp(const char * p, const char * q, int maxlen)",1.8154762,0.48214287,1.3333334,0.0,56,9,13,3,4,2,0,1,false
neovim\src\nvim\os\env.c,1152,bool os_setenv_append_path(const char * fname) FUNC_ATTR_NONNULL_ALL,1.7941177,0.29411766,1.5,0.0,34,5,9,2,3,2,0,1,false
