File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\syntax.c,0.9955121,-0.0044878987,1.0,0.0,6239,14,14,2,2,2,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\eval\encode.c,0.99505764,-0.0049423394,1.0,0.0,607,3,3,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\memfile.c,0.9948542,-0.0051457975,1.0,0.0,583,3,3,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\ops.c,0.9946726,-0.005327414,1.0,0.0,4505,12,12,2,2,2,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\mouse.c,0.9946714,-0.005328597,1.0,0.0,563,3,3,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\hardcopy.c,0.99458975,-0.0054102796,1.0,0.0,2218,6,6,2,2,2,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\highlight.c,0.99455535,-0.005444646,1.0,0.0,551,3,3,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\indent.c,0.9937369,-0.006263048,1.0,0.0,479,3,3,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\getchar.c,0.9934037,-0.006596306,1.0,0.0,3032,10,10,2,2,2,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\api\ui.c,0.9932773,-0.006722689,1.0,0.0,595,4,4,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\os\input.c,0.992126,-0.007874016,1.0,0.0,381,3,3,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\os\pty_process_win.c,0.9917582,-0.008241759,1.0,0.0,364,3,3,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\search.c,0.99122804,-0.00877193,1.0,0.0,3648,16,16,2,2,2,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\cursor.c,0.9911243,-0.00887574,1.0,0.0,338,3,3,1,1,1,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\buffer.c,0.9908998,-0.29481444,1.0714285,0.21428572,3799,80,94,15,10,14,3,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\ui.c,0.99038464,-0.63461536,1.625,0.0,416,33,65,13,5,8,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\window.c,0.9898576,-0.010142383,1.0,0.0,5127,26,26,2,2,2,0,true
D:\Pesquisa\Projects\neovim-analysis\source\neovim\src\nvim\buffer_updates.c,0.9892857,-0.010714286,1.0,0.0,280,3,3,1,1,1,0,true
