"sep=,"
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\setenv.c.xml,HAVE_CONFIG_H;HAVE_GETENV
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\sigwait.c.xml,HAVE_CONFIG_H;__native_client__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\sincos.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\strcasecmp.c.xml,HAVE_CONFIG_H;HAVE_STRICMP
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\strcasestr.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\strdup.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\strlcpy.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\strndup.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\strnlen.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\strnstr.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\strsep.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\strtof.c.xml,HAVE_CONFIG_H;__ANDROID__
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\strtok_r.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\strtoll.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\strverscmp.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\swab.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\tdestroy.c.xml,HAVE_CONFIG_H;HAVE_SEARCH_H;HAVE_TFIND
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\test\clock_nanosleep.c.xml,
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\test\heap.c.xml,
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\test\strnstr.c.xml,
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\tfind.c.xml,HAVE_CONFIG_H;HAVE_SEARCH_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\timegm.c.xml,HAVE_CONFIG_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\timespec_get.c.xml,HAVE_CONFIG_H;_POSIX_TIMERS;_WIN32
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\compat\vasprintf.c.xml,HAVE_CONFIG_H;NDEBUG
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\doc\libvlc\QtGL\qtvlcwidget.h.xml,GLWIDGET_H
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\doc\libvlc\QtPlayer\player.h.xml,PLAYER
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\doc\libvlc\d3d9_player.c.xml,
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\doc\libvlc\gtk_player.c.xml,
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\doc\libvlc\vlc-thumb.c.xml,NDEBUG;_POSIX_CLOCK_SELECTION
D:\Pesquisa\Projects\vlc-analysis\_cppstats_featurelocations\vlc\extras\package\win32\NSIS\nsProcess\api.h.xml,NSISCALL;_NSIS_EXEHEAD_API_H_
