"sep=,"
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\env--helper.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\fast-export.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\fetch-pack.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\fetch.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\fmt-merge-msg.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\for-each-ref.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\fsck.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\gc.c.xml,GIT_WINDOWS_NATIVE;HAVE_BSD_SYSCTL;HAVE_SYSINFO;HW_MEMSIZE;HW_PHYSMEM
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\get-tar-commit-id.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\grep.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\hash-object.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\help.c.xml,DEFAULT_HELP_FORMAT
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\index-pack.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\init-db.c.xml,DEFAULT_GIT_TEMPLATE_DIR;ENABLE_SHA256;NO_TRUSTABLE_FILEMODE
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\interpret-trailers.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\log.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\ls-files.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\ls-remote.c.xml,
D:\Pesquisa\Projects\git-analysis\_cppstats_featurelocations\git\builtin\ls-tree.c.xml,
