"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\bundle.c.xml,306,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\cat-file.c.xml,1128,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\check-attr.c.xml,312,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\check-ignore.c.xml,328,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\check-mailmap.c.xml,106,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\check-ref-format.c.xml,134,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\checkout-index.c.xml,438,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\checkout.c.xml,2846,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\clean.c.xml,1668,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\clone.c.xml,2050,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\column.c.xml,102,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\commit-graph.c.xml,396,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\commit-tree.c.xml,240,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\commit.c.xml,2752,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\config.c.xml,1510,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\count-objects.c.xml,290,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\credential.c.xml,50,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\describe.c.xml,1152,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\diff-files.c.xml,102,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\diff-index.c.xml,100,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\diff-tree.c.xml,328,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\diff.c.xml,668,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\difftool.c.xml,1200,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\env--helper.c.xml,172,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\fast-export.c.xml,2000,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\fetch-pack.c.xml,464,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\fetch.c.xml,2936,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\fmt-merge-msg.c.xml,1228,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\for-each-ref.c.xml,150,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\fsck.c.xml,1462,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\gc.c.xml,1016,5,17,1.5,0.7071067811865476,,,,,,,,0,0,0,0,0,0,5,2,,
D:\Pesquisa\Projects\git-analysis\_cppstats\git\builtin\get-tar-commit-id.c.xml,78,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
