FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
lvgl\src\lv_draw\lv_draw_basic.c,462,"void lv_draw_map(const lv_area_t * cords_p, const lv_area_t * mask_p, const uint8_t * map_p, lv_opa_t opa, bool chroma_key, bool alpha_byte, lv_color_t recolor, lv_opa_t recolor_opa)",3.972098,1.2578125,2.7142856,0.0,128,23,63,7,19,4,0,4,false
lvgl\src\lv_objx\lv_list.c,502,lv_obj_t * lv_list_get_btn_img(const lv_obj_t * btn),3.9666667,1.4666667,2.5,0.0,15,11,27,2,5,2,0,3,false
lvgl\src\lv_objx\lv_btn.c,209,"void lv_btn_set_ink_in_time(lv_obj_t * btn, uint16_t time)",3.8846154,1.3846154,2.5,0.0,13,9,26,2,5,3,0,1,false
lvgl\src\lv_objx\lv_btn.c,229,"void lv_btn_set_ink_wait_time(lv_obj_t * btn, uint16_t time)",3.8846154,1.3846154,2.5,0.0,13,9,26,2,5,3,0,1,false
lvgl\src\lv_objx\lv_btn.c,250,"void lv_btn_set_ink_out_time(lv_obj_t * btn, uint16_t time)",3.8846154,1.3846154,2.5,0.0,13,9,26,2,5,3,0,1,false
lvgl\src\lv_themes\lv_theme_mono.c,414,"static void style_mod(lv_group_t * group, lv_style_t * style)",3.8846154,1.3846154,2.5,0.0,13,9,25,2,5,2,0,3,false
lvgl\src\lv_themes\lv_theme_mono.c,431,"static void style_mod_edit(lv_group_t * group, lv_style_t * style)",3.8846154,1.3846154,2.5,0.0,13,9,25,2,5,2,0,3,false
lvgl\src\lv_themes\lv_theme_night.c,734,"static void style_mod(lv_group_t * group, lv_style_t * style)",3.8846154,1.3846154,2.5,0.0,13,9,25,2,5,2,0,3,false
lvgl\src\lv_themes\lv_theme_night.c,751,"static void style_mod_edit(lv_group_t * group, lv_style_t * style)",3.8846154,1.3846154,2.5,0.0,13,9,25,2,5,2,0,3,false
lvgl\src\lv_themes\lv_theme_zen.c,782,"static void style_mod(lv_group_t * group, lv_style_t * style)",3.8846154,1.3846154,2.5,0.0,13,9,25,2,5,2,0,3,false
lvgl\src\lv_objx\lv_bar.c,378,"static bool lv_bar_design(lv_obj_t * bar, const lv_area_t * mask, lv_design_mode_t mode)",3.8782048,2.7115383,1.1666666,0.0,104,47,59,6,7,3,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,842,"static void style_mod(lv_group_t * group, lv_style_t * style)",3.8333335,1.3333334,2.5,0.0,12,8,23,2,5,2,0,3,false
lvgl\src\lv_objx\lv_btn.c,325,uint16_t lv_btn_get_ink_in_time(const lv_obj_t * btn),3.7727273,1.2727273,2.5,0.0,11,7,20,2,5,3,0,1,false
lvgl\src\lv_objx\lv_btn.c,343,uint16_t lv_btn_get_ink_wait_time(const lv_obj_t * btn),3.7727273,1.2727273,2.5,0.0,11,7,20,2,5,3,0,1,false
lvgl\src\lv_objx\lv_btn.c,360,uint16_t lv_btn_get_ink_out_time(const lv_obj_t * btn),3.7727273,1.2727273,2.5,0.0,11,7,20,2,5,3,0,1,false
lvgl\src\lv_objx\lv_ta.c,921,"void lv_ta_set_cursor_blink_time(lv_obj_t * ta, uint16_t time)",3.7708335,2.4375,1.3333334,0.0,32,26,30,3,4,2,0,1,false
lvgl\src\lv_draw\lv_draw_rect.c,666,"static void lv_draw_rect_border_corner(const lv_area_t * coords, const lv_area_t * mask, const lv_style_t * style, lv_opa_t opa_scale)",3.6581469,2.6581469,1.0,0.0,313,208,208,4,4,1,0,0,false
lvgl\src\lv_core\lv_indev.c,364,"static void indev_keypad_proc(lv_indev_t * i, lv_indev_data_t * data)",3.4423077,1.9423077,1.5,0.0,104,101,106,2,3,2,0,1,false
lvgl\src\lv_core\lv_indev.c,512,"static void indev_encoder_proc(lv_indev_t * i, lv_indev_data_t * data)",3.4423077,1.9423077,1.5,0.0,104,101,106,2,3,2,0,1,false
lvgl\src\lv_draw\lv_draw_arc.c,53,"void lv_draw_arc(lv_coord_t center_x, lv_coord_t center_y, uint16_t radius, const lv_area_t * mask, uint16_t start_angle, uint16_t end_angle, const lv_style_t * style, lv_opa_t opa_scale)",3.375,2.2083333,1.1666666,0.0,144,53,57,6,7,2,0,2,false
lvgl\src\lv_objx\lv_mbox.c,214,"void lv_mbox_start_auto_close(lv_obj_t * mbox, uint16_t delay)",3.3222222,1.8222222,1.5,0.0,45,41,46,2,3,2,0,1,false
lvgl\src\lv_draw\lv_draw_rect.c,1454,"static lv_opa_t antialias_get_opa_circ(lv_coord_t seg, lv_coord_t px_id, lv_opa_t opa)",3.2857144,2.2857144,1.0,0.0,21,12,12,4,4,1,0,0,false
lvgl\src\lv_objx\lv_page.c,632,void lv_page_start_edge_flash(lv_obj_t * page),3.25,1.75,1.5,0.0,24,21,25,2,3,2,0,1,false
lvgl\src\lv_draw\lv_img_decoder.c,525,"static lv_res_t lv_img_decoder_built_in_line_true_color(lv_img_decoder_dsc_t * dsc, lv_coord_t x, lv_coord_t y, lv_coord_t len, uint8_t * buf)",3.2037039,1.7037038,1.5,0.0,27,23,28,2,3,2,0,1,false
lvgl\src\lv_objx\lv_tileview.c,363,"static lv_res_t lv_tileview_scrl_signal(lv_obj_t * scrl, lv_signal_t sign, void * param)",3.1875,2.1875,1.0,0.0,96,42,42,5,5,1,0,0,false
