"sep=,"
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\font\allegro5\allegro_font.h.xml,ALLEGRO_BCC32;ALLEGRO_FONT_SRC;ALLEGRO_INTERNAL_UNSTABLE;ALLEGRO_MINGW32;ALLEGRO_MSVC;ALLEGRO_STATICLINK;ALLEGRO_UNSTABLE;__al_included_allegro5_allegro_font_h;__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\font\allegro5\internal\aintern_font.h.xml,__al_included_allegro_aintern_font_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\font\bmfont.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\font\font.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\font\font.h.xml,__al_included_allegro5_font_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\font\fontbmp.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\font\stdfont.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\font\text.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\font\xml.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\font\xml.h.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\image\allegro5\allegro_image.h.xml,ALLEGRO_BCC32;ALLEGRO_IIO_SRC;ALLEGRO_MINGW32;ALLEGRO_MSVC;ALLEGRO_STATICLINK;__al_included_allegro5_allegro_image_h;__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\image\allegro5\internal\aintern_image.h.xml,ALLEGRO_CFG_IIO_HAVE_ANDROID;ALLEGRO_CFG_IIO_HAVE_FREEIMAGE;ALLEGRO_CFG_IIO_HAVE_GDIPLUS;ALLEGRO_CFG_IIO_HAVE_JPG;ALLEGRO_CFG_IIO_HAVE_PNG;ALLEGRO_CFG_IIO_HAVE_WEBP;ALLEGRO_CFG_WANT_NATIVE_IMAGE_LOADER;ALLEGRO_IPHONE;ALLEGRO_MACOSX;__al_included_allegro_aintern_image_h;__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\image\android.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\image\bmp.c.xml,__GNUC__
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\image\dds.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\image\freeimage.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\image\identify.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\image\iio.c.xml,ALLEGRO_CFG_IIO_HAVE_ANDROID;ALLEGRO_CFG_IIO_HAVE_FREEIMAGE;ALLEGRO_CFG_IIO_HAVE_GDIPLUS;ALLEGRO_CFG_IIO_HAVE_JPG;ALLEGRO_CFG_IIO_HAVE_PNG;ALLEGRO_CFG_IIO_HAVE_WEBP;ALLEGRO_CFG_WANT_NATIVE_IMAGE_LOADER;ALLEGRO_IPHONE;ALLEGRO_MACOSX
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\image\iio.h.xml,__al_included_allegro5_iio_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\image\jpg.c.xml,ALLEGRO_BIG_ENDIAN;ALLEGRO_HAVE_STDINT_H
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\image\pcx.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\image\png.c.xml,ALLEGRO_BIG_ENDIAN
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\image\tga.c.xml,ALLEGRO_BIG_ENDIAN
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\image\webp.c.xml,WEBP_DECODER_ABI_VERSION
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\main\generic_main.c.xml,_MSC_VER
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\memfile\allegro5\allegro_memfile.h.xml,ALLEGRO_BCC32;ALLEGRO_MEMFILE_SRC;ALLEGRO_MINGW32;ALLEGRO_MSVC;ALLEGRO_STATICLINK;__al_included_allegro5_memfile_h;__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\memfile\memfile.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\native_dialog\allegro5\allegro_native_dialog.h.xml,ALLEGRO_BCC32;ALLEGRO_INTERNAL_UNSTABLE;ALLEGRO_MINGW32;ALLEGRO_MSVC;ALLEGRO_NATIVE_DIALOG_SRC;ALLEGRO_STATICLINK;ALLEGRO_UNSTABLE;ALLEGRO_WITH_XWINDOWS;__al_included_allegro5_allegro_native_dialog_h;__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\native_dialog\allegro5\internal\aintern_native_dialog.h.xml,__al_included_allegro_aintern_native_dialog_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\native_dialog\dialog.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\native_dialog\gtk_dialog.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\native_dialog\gtk_dialog.h.xml,__al_included_gtk_dialog_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\native_dialog\gtk_filesel.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\native_dialog\gtk_menu.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\native_dialog\gtk_msgbox.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\native_dialog\gtk_textlog.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\native_dialog\gtk_thread.c.xml,NEWER_GLIB
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\native_dialog\gtk_xgtk.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\native_dialog\gtk_xgtk.h.xml,__al_included_allegro5_native_dialog_gtk_xgtk_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\native_dialog\menu.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\native_dialog\textlog.c.xml,ALLEGRO_CFG_NATIVE_DIALOG_WINDOWS
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\native_dialog\win_dialog.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\physfs\a5_physfs.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\physfs\a5_physfs_dir.c.xml,ENOSYS;ENOTSUP
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\physfs\allegro5\allegro_physfs.h.xml,ALLEGRO_BCC32;ALLEGRO_MINGW32;ALLEGRO_MSVC;ALLEGRO_PHYSFS_SRC;ALLEGRO_STATICLINK;__al_included_allegro5_allegro_physfs_h;__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\physfs\allegro_physfs_intern.h.xml,__al_included_allegro5_allegro_physfs_intern_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\primitives\allegro5\allegro_primitives.h.xml,ALLEGRO_BCC32;ALLEGRO_MINGW32;ALLEGRO_MSVC;ALLEGRO_PRIMITIVES_SRC;ALLEGRO_STATICLINK;_ALLEGRO_VERTEX_DEFINED;__al_included_allegro5_allegro_primitives_h;__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\primitives\allegro5\internal\aintern_prim.h.xml,__al_included_allegro5_aintern_prim_h;__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\primitives\allegro5\internal\aintern_prim_directx.h.xml,__al_included_allegro5_aintern_prim_directx_h;__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\primitives\allegro5\internal\aintern_prim_opengl.h.xml,__al_included_allegro5_aintern_prim_opengl_h
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\primitives\allegro5\internal\aintern_prim_soft.h.xml,__al_included_allegro5_aintern_prim_soft_h;__cplusplus
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\primitives\high_primitives.c.xml,ALLEGRO_CFG_OPENGL;ALLEGRO_MSVC
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\primitives\line_soft.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\primitives\point_soft.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\primitives\polygon.c.xml,ALLEGRO_MSVC
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\primitives\polyline.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\primitives\prim_opengl.c.xml,ALLEGRO_CFG_OPENGL;ALLEGRO_CFG_OPENGLES;ALLEGRO_CFG_OPENGL_FIXED_FUNCTION;ALLEGRO_CFG_OPENGL_PROGRAMMABLE_PIPELINE;ALLEGRO_IPHONE
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\primitives\prim_soft.c.xml,
D:\Pesquisa\Projects\allegro5-analysis\_cppstats_featurelocations\allegro5\addons\primitives\prim_util.c.xml,ALLEGRO_MSVC
