File,AFSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFC_Dup,NOFC_NonDup,NOFL,NONEST,Smelly
D:\Pesquisa\Projects\radare2-analysis\source\radare2\shlr\sdb\src\json\js0n.c,-6.886477,-9.786477,2.0,0.9,281,275,469,20,7,10,9,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\socket\r2pipe.c,-7.214935,-8.814935,1.4,0.2,308,181,306,21,4,15,3,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\anal\p\anal_6502_cs.c,-7.396413,-9.596413,1.5,0.7,223,214,276,15,6,10,7,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\magic\magic.c,-7.4628463,-9.762846,1.2,1.1,253,247,518,12,6,10,11,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\shlr\bochs\src\libbochs.c,-7.5,-9.0,1.4166666,0.083333336,292,219,327,17,3,12,1,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\flag\zones.c,-7.730435,-9.130435,1.4,0.0,276,252,380,14,3,10,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\shlr\zip\zlib\crc32.c,-8.375,-10.0,1.1875,0.4375,288,180,250,19,6,16,7,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\cons\cons.c,-8.661851,-10.703518,1.9791666,0.0625,1592,355,739,95,8,48,3,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\io\p\io_r2k.c,-8.817406,-11.706294,2.8888888,0.0,143,93,314,52,5,18,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\debug\p\native\xnu\xnu_threads.c,-8.8752365,-21.738873,6.318182,6.5454545,337,333,1476,139,15,22,144,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\hash\sha2.c,-9.182926,-12.182926,2.2592592,0.7407407,656,296,584,61,6,27,20,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\util\thread_sem.c,-9.245977,-11.379311,1.7333333,0.4,87,66,156,26,5,15,6,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\cons\cutf8.c,-9.800327,-12.723404,1.5384616,1.3846154,188,184,439,20,7,13,18,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\core\cmd_hash.c,-10.656588,-11.656588,1.0,0.0,463,257,257,21,7,21,0,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\util\sandbox.c,-11.043786,-12.723785,1.28,0.4,391,199,359,32,10,25,10,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\io\p\io_gprobe.c,-11.177519,-13.498947,1.75,0.5714286,950,458,677,49,12,28,16,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\util\thread.c,-12.138723,-17.991665,4.0,1.8529412,240,127,683,136,14,34,63,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\io\p\io_ptrace.c,-13.717549,-17.495327,2.1111112,1.6666666,321,312,1071,38,10,18,30,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\magic\apprentice.c,-13.834465,-16.952112,1.5882353,1.5294118,1775,1770,1975,27,9,17,26,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\util\file.c,-16.854702,-18.813036,1.8958334,0.0625,1166,457,925,91,9,48,3,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\shlr\zip\zlib\deflate.c,-17.052715,-18.909859,1.3469387,0.5102041,1420,548,862,66,11,49,25,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\libr\debug\p\native\bsd\bsd_debug.c,-18.672392,-21.755726,2.3333333,0.75,524,475,1004,56,6,24,18,true
D:\Pesquisa\Projects\radare2-analysis\source\radare2\shlr\zip\zlib\zutil.c,-21.866936,-24.125,1.2580645,1.0,248,193,451,39,28,31,31,true
