"sep=,"
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\examples\filter_audio.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\examples\filtering_audio.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\examples\filtering_video.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\examples\http_multiclient.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\examples\hw_decode.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\examples\metadata.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\examples\muxing.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\examples\qsvdec.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\examples\remuxing.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\examples\resampling_audio.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\examples\scaling_video.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\examples\transcode_aac.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\examples\transcoding.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\examples\vaapi_encode.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\examples\vaapi_transcode.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\doc\print_options.c.xml,
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\fftools\cmdutils.c.xml,CONFIG_AVDEVICE;CONFIG_AVFILTER;CONFIG_AVRESAMPLE;CONFIG_GPL;CONFIG_GPLV3;CONFIG_LGPLV3;CONFIG_NETWORK;CONFIG_NONFREE;CONFIG_SWRESAMPLE;CONFIG_SWSCALE;HAVE_COMMANDLINETOARGVW;HAVE_GETMODULEHANDLE;HAVE_SETDLLDIRECTORY;HAVE_SETRLIMIT;HAVE_SYS_RESOURCE_H;_WIN32
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\fftools\cmdutils.h.xml,CONFIG_AVDEVICE;FFTOOLS_CMDUTILS_H;_WIN32
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\fftools\ffmpeg.c.xml,CONFIG_AVDEVICE;FF_API_DEBUG_MV;HAVE_GETPROCESSMEMORYINFO;HAVE_GETPROCESSTIMES;HAVE_GETRUSAGE;HAVE_IO_H;HAVE_KBHIT;HAVE_PEEKNAMEDPIPE;HAVE_SETCONSOLECTRLHANDLER;HAVE_STRUCT_RUSAGE_RU_MAXRSS;HAVE_SYS_RESOURCE_H;HAVE_SYS_SELECT_H;HAVE_TERMIOS_H;HAVE_THREADS;HAVE_UNISTD_H;SIGPIPE;SIGXCPU
D:\Pesquisa\Projects\ffmpeg-analysis\_cppstats_featurelocations\FFmpeg\fftools\ffmpeg.h.xml,CONFIG_QSV;FFTOOLS_FFMPEG_H;HAVE_THREADS
